
Text conversion of header file \h820\optphotolab\Drones\DJI__Mavic_3M\viikki-field_calibration__20240521\sky_irrad\irrad_sky__00073.asd
 -------------------------------------------------------------
                                                                                                                                                            
The instrument number was  18875/1
New ASD spectrum file: Program version = 6.04 file version = 7.00
Spectrum saved: 05/21/2024 at 11:33:07
VNIR integration time : 136
VNIR channel 1 wavelength = 350 wavelength step = 1
There was one sample per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 2.5
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 16 offset was 2051
SWIR2 gain was 16 offset was 2070
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1800 nm
VNIR dark signal subtracted
100 dark measurements taken Tue May 21 11:27:15 2024
DCC value was 0
Data is not compared to a white reference
There was a remote cosine receptor attached
Spectrum file is raw data with embedded reference
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is 00:00:00

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Wavelength	rad_sky-00073.asd
1068	 0.325650954459637 
1069	 0.325194146127636 
1070	 0.324843973706724 
1071	 0.324330383239937 
1072	 0.325958528747435 
1073	 0.327495300927537 
1074	 0.327284288372734 
1075	 0.326784020848032 
1076	 0.324910480261588 
1077	 0.322214487997306 
1078	 0.32028758797298 
1079	 0.317954992278179 
1080	 0.316476433401065 
1081	 0.315237450261065 
1082	 0.314680186335344 
1083	 0.313401167779778 
1084	 0.312029448660057 
1085	 0.310558494466092 
1086	 0.308385699637246 
1087	 0.30741268309731 
1088	 0.306776369224991 
1089	 0.305527560123405 
1090	 0.303674426244423 
1091	 0.301028089181924 
1092	 0.297099789889167 
1093	 0.293426928203187 
1094	 0.290109018074203 
1095	 0.286914523209081 
1096	 0.283533010216026 
1097	 0.280375544261839 
1098	 0.276828424357523 
1099	 0.272636988633672 
1100	 0.269070366417173 
1101	 0.265297340392438 
1102	 0.262576018380566 
1103	 0.260738880387884 
1104	 0.257791117372867 
1105	 0.254360552801721 
1106	 0.251047101440705 
1107	 0.247258103093418 
1108	 0.242587326839104 
1109	 0.235330773763115 
1110	 0.22817785269815 
1111	 0.216563631795172 
1112	 0.200038316695586 
