
Text conversion of header file \h820\optphotolab\Drones\DJI__Mavic_3M\viikki-field_calibration__20240523\reflec_3\DN_gravel__00125.asd
 -------------------------------------------------------------
                                                                                                                                                            
The instrument number was  18875/1
New ASD spectrum file: Program version = 6.04 file version = 7.00
Spectrum saved: 05/23/2024 at 17:17:01
VNIR integration time : 68
VNIR channel 1 wavelength = 350 wavelength step = 1
There was one sample per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 65535
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 16 offset was 2051
SWIR2 gain was 16 offset was 2074
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1800 nm
VNIR dark signal subtracted
100 dark measurements taken Thu May 23 17:12:29 2024
DCC value was 0
Data is not compared to a white reference
There was no foreoptic attached
Spectrum file is raw data with embedded reference
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is 00:00:00

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Wavelength	reflec_penels3-00125.asd
623	 970.658629022336 
624	 951.52615309877 
625	 935.489693378451 
626	 924.546261822737 
627	 913.792230119502 
628	 900.90106672345 
629	 887.447629124944 
630	 881.115083340946 
631	 878.920538363666 
632	 876.133921926659 
633	 872.722340726861 
634	 869.41440821147 
635	 864.757587096094 
636	 856.261045383993 
637	 847.047601703189 
638	 834.805931580546 
639	 818.050901390936 
640	 798.042978295704 
641	 774.458018954477 
642	 752.806570805988 
643	 737.63666520953 
644	 719.049682364152 
645	 697.842931839576 
646	 674.786834336375 
647	 650.306922672238 
648	 628.614839763237 
649	 609.601458617298 
650	 594.377688897026 
651	 591.190529031767 
652	 585.117684527839 
653	 576.132834553437 
654	 569.550897153776 
655	 551.62344362816 
656	 525.052762307456 
657	 501.937751148306 
658	 504.346078029918 
659	 512.471799174038 
660	 515.387828197343 
661	 508.451081619535 
662	 499.913627824562 
663	 488.749501965537 
664	 476.536596288173 
665	 466.298226222313 
666	 456.167106889538 
667	 448.200617504723 
668	 442.594253800006 
669	 435.24202880136 
670	 429.38895707737 
671	 424.718785799308 
672	 420.433830674209 
673	 419.168242876679 
674	 419.408804063446 
675	 419.944317333461 
676	 420.168698468605 
677	 421.988854090517 
678	 424.919172306168 
679	 428.350863954435 
680	 432.20350533464 
681	 439.000875531809 
682	 448.085992373756 
683	 457.655225034049 
684	 468.591874422559 
685	 479.955703428949 
686	 485.758113477534 
687	 475.79722043288 
688	 477.761680487334 
689	 506.730273203479 
690	 565.747349268835 
691	 636.873640124824 
692	 717.875205722846 
693	 805.463328611182 
694	 897.876974303661 
695	 1001.06353356023 
696	 1124.55287582072 
697	 1267.65669041667 
698	 1416.66291953218 
699	 1554.10822709458 
700	 1686.46326082772 
701	 1827.08816401194 
702	 1986.29303791978 
703	 2164.98143790021 
704	 2361.36755450744 
705	 2569.41233825288 
706	 2768.07713941386 
707	 2965.0989513526 
708	 3166.40492766197 
709	 3370.07212611208 
710	 3585.82126114059 
711	 3806.2948023766 
712	 4022.89251150331 
713	 4241.64690540951 
714	 4456.24002167004 
715	 4636.97600164513 
716	 4735.01002061502 
717	 4668.56242279991 
718	 4522.15483734901 
719	 4439.74472693505 
720	 4612.18960584893 
721	 5083.19544009684 
722	 5659.67133395821 
723	 6093.18866860721 
724	 6201.86154442609 
725	 6289.23914600476 
726	 6494.3521093343 
