ENLIGHTEN Version,2.1.14
Measurement ID,20200528-135733-845197-WP-00413
Serial Number,WP-00413
Model,WP-785-C-ER2-S
Label,13:57:33 WP-00413
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Raman
Baseline Correction Algo,
ROI Pixel Start,10
ROI Pixel End,950
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Integration Time,8
Timestamp,2020-05-28 13:57:33.845197
Note,
1050.58,702.00
1050.82,696.00
1051.07,706.00
1051.31,692.00
1051.55,700.00
1051.79,702.00
1052.04,708.00
1052.28,700.00
1052.52,698.00
1052.76,691.00
1053.01,711.00
1053.25,689.00
1053.49,696.00
1053.73,700.00
1053.97,696.00
1054.21,692.00
1054.46,691.00
1054.70,704.00
1054.94,694.00
1055.18,689.00
1055.42,683.00
1055.66,696.00
1055.90,692.00
1056.14,691.00
1056.38,694.00
1056.62,687.00
1056.86,681.00
1057.10,687.00
1057.34,694.00
1057.58,698.00
1057.82,677.00
1058.06,687.00
1058.30,687.00
1058.54,696.00
1058.78,681.00
1059.02,696.00
1059.26,687.00
1059.50,692.00
1059.74,685.00
1059.98,685.00
1060.22,689.00
1060.46,679.00
1060.69,673.00
1060.93,679.00
1061.17,694.00
1061.41,681.00
1061.65,679.00
1061.88,679.00
1062.12,687.00
1062.36,672.00
1062.60,681.00
1062.84,681.00
1063.07,681.00
1063.31,679.00
1063.55,685.00
1063.78,681.00
1064.02,691.00
1064.26,681.00
1064.49,692.00
1064.73,679.00
1064.97,681.00
1065.20,677.00
1065.44,675.00
1065.68,673.00
1065.91,683.00
1066.15,668.00
1066.38,675.00
1066.62,681.00
1066.86,673.00
1067.09,691.00
1067.33,668.00
1067.56,679.00
1067.80,672.00
