
 <pre>


 \n INPUT PARAMETERS:\n
 RADIATION SCHEME:            2  streams\n
 w-grid:         461   289.500000       750.500000    
 equally spaced z-grid
 z-grid:          81   0.00000000       80.0000000    
  measurement point: index           1  altitude=   0.00000000    
 idate =     20240623  esfact(1) =   0.967971444    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 lat=   60.2091103      long=   24.9647408      ut=   15.3333330    
 solar zenith angle =    62.1181755    
 \n SPECTRAL IRRADIANCE (W m-2 nm-1):\n
 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 454.86     455.86     3.631E-01  3.075E-01     6.706E-02   6.706E-01
 455.86     456.86     3.885E-01  3.264E-01     7.149E-02   7.149E-01
 456.86     457.87     3.978E-01  3.314E-01     7.291E-02   7.291E-01
 457.87     458.87     3.737E-01  3.088E-01     6.824E-02   6.824E-01
 458.87     459.87     3.874E-01  3.176E-01     7.050E-02   7.050E-01
 459.87     460.87     3.842E-01  3.124E-01     6.966E-02   6.966E-01
 460.87     461.87     4.000E-01  3.226E-01     7.225E-02   7.225E-01
 461.87     462.88     4.019E-01  3.216E-01     7.236E-02   7.236E-01
 462.88     463.88     4.034E-01  3.203E-01     7.237E-02   7.237E-01
 463.88     464.88     3.868E-01  3.048E-01     6.916E-02   6.916E-01
 464.88     465.88     3.881E-01  3.034E-01     6.915E-02   6.915E-01
 465.88     466.88     3.969E-01  3.079E-01     7.048E-02   7.048E-01
 466.88     467.89     3.934E-01  3.028E-01     6.963E-02   6.963E-01
 467.89     468.89     3.937E-01  3.007E-01     6.944E-02   6.944E-01
 468.89     469.89     4.041E-01  3.064E-01     7.105E-02   7.105E-01
 469.89     470.89     3.787E-01  2.849E-01     6.636E-02   6.636E-01
 470.89     471.90     3.968E-01  2.963E-01     6.931E-02   6.931E-01
 471.90     472.90     4.209E-01  3.120E-01     7.329E-02   7.329E-01
 472.90     473.90     3.931E-01  2.892E-01     6.823E-02   6.823E-01
 473.90     474.90     4.232E-01  3.090E-01     7.322E-02   7.322E-01
 474.90     475.90     4.120E-01  2.986E-01     7.106E-02   7.106E-01
 475.90     476.91     4.073E-01  2.930E-01     7.003E-02   7.003E-01
