 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             4  streams

 w-grid:          561    280.0000        420.0000    
 equally spaced z-grid
 z-grid:           81    0.000000        80.00000    
  measurement point: index            1  altitude=    0.000000    
 idate =      20150630  esfact(1) =     1.000000    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 solar zenith angle =     30.00000    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 305.75     306.00     1.082E-02  2.200E-02     3.282E-03   3.282E-02
 306.00     306.25     1.984E-02  4.026E-02     6.010E-03   6.010E-02
 306.25     306.50     2.279E-02  4.606E-02     6.885E-03   6.885E-02
 306.50     306.75     2.016E-02  4.080E-02     6.097E-03   6.097E-02
 306.75     307.00     1.995E-02  4.041E-02     6.036E-03   6.036E-02
 307.00     307.25     3.230E-02  6.562E-02     9.792E-03   9.792E-02
 307.25     307.50     3.096E-02  6.306E-02     9.402E-03   9.402E-02
 307.50     307.75     2.956E-02  6.023E-02     8.979E-03   8.979E-02
 307.75     308.00     3.303E-02  6.709E-02     1.001E-02   1.001E-01
 308.00     308.25     3.771E-02  7.626E-02     1.140E-02   1.140E-01
 308.25     308.50     2.681E-02  5.415E-02     8.096E-03   8.096E-02
 308.50     308.75     4.743E-02  9.570E-02     1.431E-02   1.431E-01
 308.75     309.00     3.333E-02  6.702E-02     1.004E-02   1.004E-01
 309.00     309.25     3.098E-02  6.221E-02     9.319E-03   9.319E-02
 309.25     309.50     2.447E-02  4.923E-02     7.371E-03   7.371E-02
 309.50     309.75     4.300E-02  8.694E-02     1.299E-02   1.299E-01
 309.75     310.00     3.522E-02  7.118E-02     1.064E-02   1.064E-01
 310.00     310.25     2.295E-02  4.623E-02     6.917E-03   6.917E-02
 310.25     310.50     4.231E-02  8.482E-02     1.271E-02   1.271E-01
 310.50     310.75     5.557E-02  1.114E-01     1.670E-02   1.670E-01
 310.75     311.00     6.710E-02  1.343E-01     2.014E-02   2.014E-01
 311.00     311.25     6.296E-02  1.257E-01     1.887E-02   1.887E-01
 311.25     311.50     6.461E-02  1.284E-01     1.930E-02   1.930E-01
 311.50     311.75     6.316E-02  1.253E-01     1.885E-02   1.885E-01
 311.75     312.00     5.379E-02  1.070E-01     1.608E-02   1.608E-01
 312.00     312.25     5.216E-02  1.038E-01     1.560E-02   1.560E-01
 312.25     312.50     6.255E-02  1.244E-01     1.869E-02   1.869E-01
 312.50     312.75     6.379E-02  1.268E-01     1.906E-02   1.906E-01
 312.75     313.00     6.894E-02  1.368E-01     2.057E-02   2.057E-01
 313.00     313.25     7.176E-02  1.420E-01     2.137E-02   2.137E-01
 313.25     313.50     6.527E-02  1.283E-01     1.936E-02   1.936E-01
 313.50     313.75     6.551E-02  1.280E-01     1.935E-02   1.935E-01
 313.75     314.00     8.229E-02  1.607E-01     2.430E-02   2.430E-01
 314.00     314.25     8.642E-02  1.690E-01     2.555E-02   2.555E-01
 314.25     314.50     6.664E-02  1.307E-01     1.973E-02   1.973E-01
 314.50     314.75     5.742E-02  1.128E-01     1.702E-02   1.702E-01
 314.75     315.00     8.014E-02  1.568E-01     2.369E-02   2.369E-01
 315.00     315.25     8.946E-02  1.745E-01     2.640E-02   2.640E-01
 315.25     315.50     9.133E-02  1.770E-01     2.683E-02   2.683E-01
 315.50     315.75     7.677E-02  1.473E-01     2.241E-02   2.241E-01
 315.75     316.00     4.805E-02  9.233E-02     1.404E-02   1.404E-01
 316.00     316.25     5.629E-02  1.085E-01     1.648E-02   1.648E-01
 316.25     316.50     8.189E-02  1.576E-01     2.395E-02   2.395E-01
 316.50     316.75     8.029E-02  1.546E-01     2.349E-02   2.349E-01
 316.75     317.00     9.401E-02  1.807E-01     2.747E-02   2.747E-01
 317.00     317.25     1.128E-01  2.149E-01     3.277E-02   3.277E-01
 317.25     317.50     1.193E-01  2.268E-01     3.461E-02   3.461E-01
 317.50     317.75     1.082E-01  2.041E-01     3.123E-02   3.123E-01
 317.75     318.00     1.048E-01  1.973E-01     3.022E-02   3.022E-01
 318.00     318.25     6.597E-02  1.243E-01     1.902E-02   1.902E-01
 318.25     318.50     8.185E-02  1.544E-01     2.363E-02   2.363E-01
 318.50     318.75     1.008E-01  1.903E-01     2.911E-02   2.911E-01
 318.75     319.00     1.107E-01  2.087E-01     3.194E-02   3.194E-01
 319.00     319.25     1.327E-01  2.499E-01     3.826E-02   3.826E-01
 319.25     319.50     7.726E-02  1.441E-01     2.214E-02   2.214E-01
 319.50     319.75     1.045E-01  1.931E-01     2.976E-02   2.976E-01
 319.75     320.00     1.273E-01  2.349E-01     3.621E-02   3.621E-01
 320.00     320.25     1.124E-01  2.056E-01     3.181E-02   3.181E-01
 320.25     320.50     1.350E-01  2.479E-01     3.829E-02   3.829E-01
 320.50     320.75     1.547E-01  2.844E-01     4.390E-02   4.390E-01
 320.75     321.00     1.435E-01  2.640E-01     4.075E-02   4.075E-01
 321.00     321.25     1.132E-01  2.085E-01     3.218E-02   3.218E-01
 321.25     321.50     9.582E-02  1.758E-01     2.716E-02   2.716E-01
 321.50     321.75     1.230E-01  2.247E-01     3.477E-02   3.477E-01
 321.75     322.00     1.375E-01  2.497E-01     3.871E-02   3.871E-01
 322.00     322.25     1.437E-01  2.571E-01     4.008E-02   4.008E-01
 322.25     322.50     1.129E-01  2.020E-01     3.150E-02   3.150E-01
 322.50     322.75     1.183E-01  2.107E-01     3.289E-02   3.289E-01
 322.75     323.00     9.976E-02  1.770E-01     2.767E-02   2.767E-01
 323.00     323.25     1.039E-01  1.850E-01     2.890E-02   2.890E-01
 323.25     323.50     1.404E-01  2.504E-01     3.908E-02   3.908E-01
 323.50     323.75     1.133E-01  2.021E-01     3.153E-02   3.153E-01
 323.75     324.00     1.419E-01  2.528E-01     3.947E-02   3.947E-01
 324.00     324.25     1.526E-01  2.704E-01     4.231E-02   4.231E-01
 324.25     324.50     1.433E-01  2.525E-01     3.958E-02   3.958E-01
 324.50     324.75     1.692E-01  2.967E-01     4.659E-02   4.659E-01
 324.75     325.00     1.267E-01  2.192E-01     3.459E-02   3.459E-01
 325.00     325.25     1.383E-01  2.387E-01     3.770E-02   3.770E-01
 325.25     325.50     1.555E-01  2.687E-01     4.242E-02   4.242E-01
 325.50     325.75     1.835E-01  3.155E-01     4.990E-02   4.990E-01
 325.75     326.00     1.925E-01  3.312E-01     5.237E-02   5.237E-01
 326.00     326.25     2.141E-01  3.684E-01     5.825E-02   5.825E-01
 326.25     326.50     2.036E-01  3.499E-01     5.535E-02   5.535E-01
 326.50     326.75     1.827E-01  3.133E-01     4.960E-02   4.960E-01
 326.75     327.00     2.193E-01  3.749E-01     5.942E-02   5.942E-01
 327.00     327.25     1.880E-01  3.191E-01     5.071E-02   5.071E-01
 327.25     327.50     1.955E-01  3.299E-01     5.254E-02   5.254E-01
 327.50     327.75     2.043E-01  3.439E-01     5.482E-02   5.482E-01
 327.75     328.00     1.829E-01  3.048E-01     4.877E-02   4.877E-01
 328.00     328.25     1.854E-01  3.074E-01     4.928E-02   4.928E-01
 328.25     328.50     1.857E-01  3.081E-01     4.938E-02   4.938E-01
 328.50     328.75     1.900E-01  3.153E-01     5.052E-02   5.052E-01
 328.75     329.00     1.559E-01  2.586E-01     4.145E-02   4.145E-01
 329.00     329.25     2.353E-01  3.895E-01     6.249E-02   6.249E-01
 329.25     329.50     2.320E-01  3.831E-01     6.152E-02   6.152E-01
 329.50     329.75     2.372E-01  3.902E-01     6.274E-02   6.274E-01
 329.75     330.00     2.370E-01  3.884E-01     6.254E-02   6.254E-01
 330.00     330.25     2.735E-01  4.464E-01     7.199E-02   7.199E-01
 330.25     330.50     2.054E-01  3.324E-01     5.378E-02   5.378E-01
 330.50     330.75     1.828E-01  2.948E-01     4.776E-02   4.776E-01
 330.75     331.00     2.026E-01  3.259E-01     5.285E-02   5.285E-01
 331.00     331.25     2.233E-01  3.564E-01     5.797E-02   5.797E-01
 331.25     331.50     2.085E-01  3.321E-01     5.406E-02   5.406E-01
 331.50     331.75     1.968E-01  3.134E-01     5.102E-02   5.102E-01
 331.75     332.00     2.326E-01  3.698E-01     6.024E-02   6.024E-01
 332.00     332.25     2.242E-01  3.557E-01     5.799E-02   5.799E-01
 332.25     332.50     1.791E-01  2.834E-01     4.625E-02   4.625E-01
 332.50     332.75     2.455E-01  3.874E-01     6.329E-02   6.329E-01
 332.75     333.00     2.077E-01  3.264E-01     5.341E-02   5.341E-01
 333.00     333.25     2.131E-01  3.335E-01     5.466E-02   5.466E-01
 333.25     333.50     2.249E-01  3.506E-01     5.755E-02   5.755E-01
 333.50     333.75     1.781E-01  2.758E-01     4.540E-02   4.540E-01
 333.75     334.00     1.959E-01  3.017E-01     4.976E-02   4.976E-01
 334.00     334.25     2.256E-01  3.468E-01     5.724E-02   5.724E-01
 334.25     334.50     2.089E-01  3.206E-01     5.295E-02   5.295E-01
 334.50     334.75     2.540E-01  3.890E-01     6.430E-02   6.430E-01
 334.75     335.00     2.268E-01  3.464E-01     5.733E-02   5.733E-01
 335.00     335.25     1.981E-01  3.018E-01     4.999E-02   4.999E-01
 335.25     335.50     2.461E-01  3.737E-01     6.197E-02   6.197E-01
 335.50     335.75     2.592E-01  3.923E-01     6.515E-02   6.515E-01
 335.75     336.00     2.327E-01  3.510E-01     5.837E-02   5.837E-01
 336.00     336.25     1.089E-01  1.636E-01     2.725E-02   2.725E-01
 336.25     336.50     1.936E-01  2.897E-01     4.833E-02   4.833E-01
 336.50     336.75     2.497E-01  3.720E-01     6.218E-02   6.218E-01
 336.75     337.00     1.854E-01  2.753E-01     4.607E-02   4.607E-01
 337.00     337.25     1.602E-01  2.367E-01     3.968E-02   3.968E-01
 337.25     337.50     1.735E-01  2.552E-01     4.287E-02   4.287E-01
 337.50     337.75     2.353E-01  3.452E-01     5.805E-02   5.805E-01
 337.75     338.00     2.485E-01  3.638E-01     6.123E-02   6.123E-01
 338.00     338.25     1.607E-01  2.347E-01     3.954E-02   3.954E-01
 338.25     338.50     2.250E-01  3.277E-01     5.527E-02   5.527E-01
 338.50     338.75     2.568E-01  3.729E-01     6.297E-02   6.297E-01
 338.75     339.00     2.273E-01  3.291E-01     5.564E-02   5.564E-01
 339.00     339.25     2.594E-01  3.742E-01     6.336E-02   6.336E-01
 339.25     339.50     1.864E-01  2.680E-01     4.544E-02   4.544E-01
 339.50     339.75     2.310E-01  3.309E-01     5.619E-02   5.619E-01
 339.75     340.00     2.759E-01  3.939E-01     6.698E-02   6.698E-01
 340.00     340.25     2.948E-01  4.190E-01     7.139E-02   7.139E-01
 340.25     340.50     2.605E-01  3.689E-01     6.294E-02   6.294E-01
 340.50     340.75     2.469E-01  3.488E-01     5.957E-02   5.957E-01
 340.75     341.00     2.235E-01  3.149E-01     5.384E-02   5.384E-01
 341.00     341.25     2.396E-01  3.365E-01     5.761E-02   5.761E-01
 341.25     341.50     2.331E-01  3.264E-01     5.595E-02   5.595E-01
 341.50     341.75     2.037E-01  2.844E-01     4.881E-02   4.881E-01
 341.75     342.00     2.424E-01  3.373E-01     5.796E-02   5.796E-01
 342.00     342.25     2.936E-01  4.072E-01     7.008E-02   7.008E-01
 342.25     342.50     2.328E-01  3.219E-01     5.547E-02   5.547E-01
