 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             4  streams

 w-grid:          561    280.0000        420.0000    
 equally spaced z-grid
 z-grid:           81    0.000000        80.00000    
  measurement point: index            1  altitude=    0.000000    
 idate =      20150630  esfact(1) =     1.000000    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 solar zenith angle =     75.00000    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 318.25     318.50     5.186E-04  3.246E-02     3.298E-03   3.298E-02
 318.50     318.75     6.671E-04  4.127E-02     4.193E-03   4.193E-02
 318.75     319.00     7.514E-04  4.593E-02     4.669E-03   4.669E-02
 319.00     319.25     9.262E-04  5.595E-02     5.688E-03   5.688E-02
 319.25     319.50     5.250E-04  3.132E-02     3.185E-03   3.185E-02
 319.50     319.75     6.904E-04  4.068E-02     4.137E-03   4.137E-02
 319.75     320.00     8.644E-04  5.035E-02     5.121E-03   5.121E-02
 320.00     320.25     7.456E-04  4.290E-02     4.365E-03   4.365E-02
 320.25     320.50     9.540E-04  5.429E-02     5.524E-03   5.524E-02
 320.50     320.75     1.143E-03  6.433E-02     6.547E-03   6.547E-02
 320.75     321.00     1.106E-03  6.156E-02     6.266E-03   6.266E-02
 321.00     321.25     9.052E-04  4.985E-02     5.076E-03   5.076E-02
 321.25     321.50     7.724E-04  4.205E-02     4.282E-03   4.282E-02
 321.50     321.75     1.001E-03  5.385E-02     5.485E-03   5.485E-02
 321.75     322.00     1.114E-03  5.922E-02     6.034E-03   6.034E-02
 322.00     322.25     1.094E-03  5.740E-02     5.849E-03   5.849E-02
 322.25     322.50     8.917E-04  4.628E-02     4.718E-03   4.718E-02
 322.50     322.75     9.387E-04  4.818E-02     4.912E-03   4.912E-02
 322.75     323.00     7.985E-04  4.052E-02     4.132E-03   4.132E-02
 323.00     323.25     8.812E-04  4.429E-02     4.517E-03   4.517E-02
 323.25     323.50     1.246E-03  6.200E-02     6.324E-03   6.324E-02
 323.50     323.75     1.038E-03  5.112E-02     5.216E-03   5.216E-02
 323.75     324.00     1.330E-03  6.481E-02     6.613E-03   6.613E-02
 324.00     324.25     1.429E-03  6.883E-02     7.026E-03   7.026E-02
 324.25     324.50     1.337E-03  6.365E-02     6.499E-03   6.499E-02
 324.50     324.75     1.588E-03  7.480E-02     7.639E-03   7.639E-02
 324.75     325.00     1.129E-03  5.246E-02     5.359E-03   5.359E-02
 325.00     325.25     1.256E-03  5.780E-02     5.905E-03   5.905E-02
 325.25     325.50     1.468E-03  6.688E-02     6.835E-03   6.835E-02
 325.50     325.75     1.735E-03  7.816E-02     7.989E-03   7.989E-02
 325.75     326.00     1.884E-03  8.403E-02     8.592E-03   8.592E-02
 326.00     326.25     2.166E-03  9.569E-02     9.786E-03   9.786E-02
 326.25     326.50     2.107E-03  9.217E-02     9.427E-03   9.427E-02
 326.50     326.75     1.922E-03  8.323E-02     8.515E-03   8.515E-02
 326.75     327.00     2.336E-03  1.001E-01     1.025E-02   1.025E-01
 327.00     327.25     1.982E-03  8.397E-02     8.595E-03   8.595E-02
 327.25     327.50     2.057E-03  8.616E-02     8.821E-03   8.821E-02
 327.50     327.75     2.183E-03  9.053E-02     9.271E-03   9.271E-02
 327.75     328.00     1.895E-03  7.763E-02     7.952E-03   7.952E-02
 328.00     328.25     1.918E-03  7.776E-02     7.968E-03   7.968E-02
 328.25     328.50     1.994E-03  8.008E-02     8.208E-03   8.208E-02
 328.50     328.75     2.106E-03  8.382E-02     8.593E-03   8.593E-02
 328.75     329.00     1.772E-03  6.988E-02     7.165E-03   7.165E-02
 329.00     329.25     2.725E-03  1.064E-01     1.091E-02   1.091E-01
 329.25     329.50     2.725E-03  1.054E-01     1.081E-02   1.081E-01
 329.50     329.75     2.807E-03  1.074E-01     1.102E-02   1.102E-01
 329.75     330.00     2.827E-03  1.071E-01     1.099E-02   1.100E-01
 330.00     330.25     3.277E-03  1.229E-01     1.261E-02   1.261E-01
 330.25     330.50     2.413E-03  8.943E-02     9.184E-03   9.184E-02
 330.50     330.75     2.169E-03  7.960E-02     8.177E-03   8.177E-02
 330.75     331.00     2.437E-03  8.861E-02     9.105E-03   9.105E-02
 331.00     331.25     2.646E-03  9.514E-02     9.778E-03   9.778E-02
 331.25     331.50     2.515E-03  8.958E-02     9.210E-03   9.210E-02
 331.50     331.75     2.434E-03  8.593E-02     8.836E-03   8.836E-02
 331.75     332.00     2.935E-03  1.027E-01     1.056E-02   1.056E-01
 332.00     332.25     2.875E-03  9.966E-02     1.025E-02   1.025E-01
 332.25     332.50     2.326E-03  7.987E-02     8.220E-03   8.220E-02
 332.50     332.75     3.223E-03  1.096E-01     1.128E-02   1.128E-01
 332.75     333.00     2.740E-03  9.225E-02     9.499E-03   9.499E-02
 333.00     333.25     2.821E-03  9.405E-02     9.687E-03   9.687E-02
 333.25     333.50     2.997E-03  9.897E-02     1.020E-02   1.020E-01
 333.50     333.75     2.351E-03  7.682E-02     7.917E-03   7.917E-02
